ra,dec,m_r,z,distancia,velocidad
150.46495,-0.27414753,19.348131,3.67332,932.4513885,1101996
150.41718,-0.02319268,19.037991,0.349715,808.3476871,104914.5
149.7413,-0.68335957,19.390121,0.367246,950.6577653,110173.8
149.84581,-0.63933118,19.834173,0.369654,1166.365325,110896.2
149.90953,-0.58358358,18.624554,1.87658,668.2066601,562974
150.3068,-0.2095875,19.145308,2.45828,849.3009307,737484
150.32655,-0.35046288,19.568911,0.367235,1032.243603,110170.5
149.57248,-0.57405616,19.553818,0.404217,1025.093784,121265.1
150.26321,-0.24982302,19.378345,0.367498,945.5162561,110249.4
150.27832,0.07542825,19.615879,0.355333,1054.813793,106599.9
150.21389,-0.09293479,18.860394,0.30417,744.8671131,91251
149.56793,-0.95886618,20.587412,0.435776,1649.994133,130732.8
149.95408,-0.25472077,20.059963,0.252715,1294.17379,75814.5
150.13905,-0.000295875,19.157513,0.304226,854.0879606,91267.8
150.10524,0.08433514,19.287373,0.304808,906.7229327,91442.4
149.96221,-0.04198322,19.524113,0.314409,1011.16633,94322.7
150.09647,-0.27057186,19.201307,0.31366,871.487977,94098
150.05108,0.01131247,19.010752,0.306674,798.2710877,92002.2
150.17194,-0.08114165,18.760145,0.305844,711.2610065,91753.2
150.07363,0.08992036,18.920338,0.905438,765.7157849,271631.4
149.58366,-0.36761824,19.643106,0.412491,1068.122836,123747.3
149.66694,-0.15537314,18.91099,1.58617,762.4265301,475851
149.12819,-0.57726153,19.726219,0.269467,1109.797648,80840.1
149.49356,-0.39835189,16.902977,0.59517,302.409479,178551
149.48184,-0.34098469,19.423969,3.7525,965.5923136,1125750
149.08388,-0.9940763,19.206131,0.917253,873.4261694,275175.9
147.86568,-0.50756726,19.825974,0.325775,1161.969691,97732.5
148.27418,-0.62243033,19.813225,0.41986,1155.167602,125958
148.59067,-0.03108903,19.053629,0.740303,814.1900675,222090.9
147.91704,-0.23895354,19.624889,0.421333,1059.19958,126399.9
148.57785,0.8494363,0,0.3401,0.125892541,102030
147.88152,0.79486978,19.995419,0.362862,1256.272346,108858.6
148.29787,0.84225347,19.549675,0.356933,1023.139849,107079.9
148.39568,0.62347812,19.457279,2.60474,980.5185177,781422
147.90096,0.409726,20.44313,0.544678,1543.924291,163403.4
149.00285,1.0090943,19.324083,0.307965,922.1819129,92389.5
149.02335,0.83986846,19.270674,0.320938,899.7768185,96281.4
148.95609,0.86778515,19.433102,0.322206,969.6620527,96661.8
148.92539,0.21497726,19.039963,0.307597,809.082113,92279.1
149.29648,0.77667291,18.937719,0.280809,771.8693572,84242.7
149.39506,0.84022126,19.288588,0.309543,907.2304117,92862.9
149.88457,0.15677014,18.996,0.311682,792.8663749,93504.6
150.28957,0.3771786,19.140011,0.7421,847.2317059,222630
150.03194,0.89105205,19.028788,0.355585,804.9290474,106675.5
150.08803,0.78613983,19.455814,0.354616,979.8572267,106384.8
150.31599,0.30877207,19.369265,0.354273,941.5708397,106281.9
150.37669,0.60064388,19.682735,1.55175,1087.794854,465525
151.5861,-0.82890233,20.073172,0.374763,1302.070202,112428.9
151.74009,-0.98321794,20.423363,0.458679,1529.933661,137603.7
151.92844,-0.59236915,18.865372,1.63079,746.5766452,489237
152.04018,-0.03605692,19.379162,2.56149,945.8720663,768447
152.05662,-0.03847254,19.240173,1.47279,887.2266941,441837
151.38681,-1.0077513,19.876604,0.419849,1189.380462,125954.7
151.43094,-0.9333294,19.323666,1.71235,922.0048382,513705
151.9033,-0.12097977,20.268581,0.466147,1424.676301,139844.1
151.06068,-0.96397217,19.289732,0.300712,907.7084952,90213.6
150.98397,-0.99457663,18.252211,2.10796,562.9141945,632388
151.13167,-0.82198079,18.239599,1.63713,559.6542421,491139
151.10106,-0.96532893,19.144426,0.300131,848.9560351,90039.3
151.1999,-0.99785813,19.846046,0.370634,1172.760149,111190.2
151.701,-0.1376599,19.118481,0.282626,838.8729683,84787.8
151.37488,-0.69795861,19.973984,0.470605,1243.932458,141181.5
151.24984,-0.55225132,19.242954,0.302265,888.3636913,90679.5
151.30464,-0.62263892,20.176455,0.406922,1365.497785,122076.6
151.02084,-0.54816942,18.259905,0.28859,564.9122599,86577
151.19369,-0.52512007,20.254107,0.484009,1415.211666,145202.7
151.09695,-0.67856532,18.764456,2.73205,712.6744677,819615
150.58586,-0.97320466,20.161613,0.449808,1356.19644,134942.4
150.57128,-0.78497757,19.188614,0.341953,866.4086909,102585.9
150.86311,-0.38592658,20.05571,0.402992,1291.641529,120897.6
150.76606,-0.08280415,19.015318,0.318805,799.9513948,95641.5
150.70803,-0.41486469,17.499397,0.795346,397.9966348,238603.8
149.56313,-0.954837,21.214666,1.02202,2202.587651,306606
150.09098,-1.0088649,19.131062,1.65982,843.7473076,497946
150.43031,-0.60292552,19.071503,1.47271,820.919553,441813
150.42413,-0.73169685,19.661386,0.397292,1077.152515,119187.6
150.56599,-0.18226843,18.943357,0.353005,773.8760388,105901.5
149.96049,0.82099006,20.901428,0.512955,1906.714196,153886.5
150.55128,0.18535271,20.40262,0.491788,1515.388545,147536.4
150.3668,0.59489998,19.948717,0.434649,1229.542089,130394.7
150.35611,0.86824367,19.512842,0.780712,1005.931482,234213.6
