sdss_name,ra,dec,l,b,M_i,z,fwhm_CIV,fwhm_CIII,fwhm_MGII
101641.22+434535.8,154.171788,43.75994887,174.4800995,54.79692151,-25.94025207,2.380365849,5224.661296,6079.611497,4772.59672
164038.81+262555.0,250.1617128,26.43194792,46.0484685,39.30834678,-25.56306093,2.286924362,4141.602973,6167.12906,2636.441837
111007.75+435701.2,167.5323129,43.9503367,166.7501707,63.5881825,-25.28608926,2.395511627,4818.830315,3500.470502,-1
145247.90+331655.5,223.199586,33.28209439,53.61287948,63.16871243,-24.63667575,2.224668741,5980.161496,4747.111559,3674.187461
153050.02+172713.5,232.7084269,17.45377644,26.6751119,52.05335736,-24.39690846,1.19256115,-1,4917.995806,6886.934468
140713.05+361703.2,211.8044039,36.28424229,67.30813344,71.51331729,-23.05753938,0.730439961,-1,-1,-1
122317.10+393455.1,185.8212695,39.58198611,146.325272,76.24029103,-26.18392202,2.154171228,5987.161064,6673.904775,4695.279714
073916.51+315814.2,114.8188123,31.97063078,187.7005879,23.44598366,-23.63103117,0.72733891,-1,-1,-1
151137.84+325927.5,227.9076681,32.99099866,52.53012232,59.25031167,-26.17090091,3.168349266,4299.66791,9119.278527,-1
091459.71+040519.1,138.7488225,4.088650669,227.0448224,33.56716048,-22.57001782,0.657431722,-1,-1,-1
153053.96+162103.3,232.7248735,16.35091819,25.03738053,51.61469225,-26.05303759,2.510750771,6122.737835,7733.363432,-1
145253.45+275228.4,223.2227465,27.87455573,41.62405892,63.1264401,-24.69096253,1.303443313,-1,6095.1067,3419.071088
075723.35+464510.9,119.3472977,46.75302967,172.5076405,30.34474602,-24.84064968,2.234468222,4274.430305,8103.283074,7576.472719
014157.78-003355.5,25.49077677,-0.565423506,149.5593625,-60.79806555,-24.93499565,2.230597496,4208.962285,2446.527394,3684.777837
102032.29-012655.0,155.1345718,-1.448635657,244.9878725,43.80373692,-25.59631552,3.105057955,3694.158648,15358.09898,-1
213508.67+023133.3,323.7861255,2.525936666,57.03189405,-34.21929545,-25.76496449,2.346177816,5438.996703,5901.582326,4799.025819
105459.70+433058.2,163.7487694,43.51617809,170.3765074,61.38375044,-25.96295546,2.204333782,-1,6082.41132,2584.970735
172838.81+365038.3,262.1617124,36.84399106,61.32719368,31.67870337,-23.31573208,0.748646736,-1,-1,-1
