ra,dec,longitud,latitud,u,g,r,i
145.58413735,0.76048111,234.98245016,37.577571,24.608664,22.260101,20.864092,20.217684
145.5874101,0.67435931,235.07437299,37.53155938,21.1922,22.45676,21.862785,21.3911
145.58794136,0.68480458,235.06389267,37.53790904,24.465469,23.285509,22.714687,22.308882
145.58947664,0.81353221,234.93101131,37.61194808,23.369499,21.586781,21.323309,20.983236
145.58947351,0.76337368,234.98324407,37.58360707,23.788534,22.224054,21.33473,21.160397
145.5902864,0.74380552,235.0041917,37.57321639,21.485909,22.949944,21.620775,21.974192
145.59107856,0.78348862,234.96344574,37.59629837,24.930696,22.226904,22.255148,22.365465
145.59137301,0.74044913,235.00845912,37.57221481,22.19029,22.759237,21.520754,21.183748
145.59277282,0.83334914,234.91271259,37.62585755,21.586664,21.911644,21.356113,20.825575
145.59307016,0.78918606,234.95893286,37.60116093,23.506067,22.396841,21.116337,20.82225
145.59318416,0.71596924,235.03522164,37.5598641,22.552706,21.822857,21.285692,20.665552
145.59386779,0.79227933,234.95628003,37.60356639,26.639341,23.520987,22.089575,23.074924
145.59453073,0.78086589,234.9686384,37.59766446,22.849909,21.317944,20.502195,20.063337
145.59596707,0.80756055,234.9418598,37.61393079,24.842232,22.275698,21.292284,21.456488
145.5964023,0.75488435,234.99702292,37.58452394,24.223255,22.183115,21.292679,21.075792
145.59687471,0.73159612,235.02159705,37.57174561,23.186874,22.0669,21.622957,21.185398
145.59796455,0.82858467,234.92137795,37.62745229,23.192337,21.249105,20.154091,19.773901
145.59895905,0.6429055,235.1153096,37.52326996,22.179293,22.064312,21.915724,21.32201
145.59992924,0.80609938,234.94620698,37.61637445,23.694908,22.837982,20.400023,19.711613
145.60007297,0.70757026,235.04887451,37.56079279,22.771296,22.597012,22.30364,21.912571
145.60194151,0.77853819,234.97634752,37.60246286,25.095654,23.086866,21.794035,21.208651
145.60066253,0.77868552,234.97528184,37.6014909,24.624594,22.571383,21.776464,21.068548
145.60204044,0.64133712,235.11913979,37.52492143,23.310284,22.846052,22.143883,21.010115
145.60251599,0.72843892,235.02890694,37.57461229,21.650898,21.587677,20.557249,20.05582
145.60265126,0.80244873,234.95195106,37.61655839,23.916021,22.583422,22.121553,21.364471
145.60286064,0.83566328,234.91749151,37.63548952,21.715784,21.532034,20.776279,21.292751
145.60450495,0.79853036,234.95735469,37.61587406,22.072374,21.06604,20.068239,19.906469
145.60510871,0.745301,235.01320921,37.58628628,21.772917,22.455143,22.357748,22.03339
145.60633437,0.76452974,234.99406683,37.59816848,23.451515,21.984015,20.904066,20.518394
145.60906411,0.73241525,235.02944197,37.58226052,22.084068,24.236296,21.902554,20.995384
145.60810581,0.80869921,234.94932878,37.62458972,21.661179,19.882774,18.90214,18.520784
145.61046663,0.80902761,234.95067037,37.62672335,26.665318,22.716087,21.861893,21.394182
145.60997022,0.80662779,234.9528165,37.62495787,23.653595,21.531506,21.200327,21.062397
145.61054158,0.70373723,235.06033387,37.56725453,22.480469,21.069544,20.652742,20.003031
145.61093894,0.67641771,235.08902928,37.55211967,21.834129,22.264711,21.762051,21.246031
145.61144872,0.65304172,235.1136945,37.53930364,22.789988,22.403944,20.913094,20.34885
145.61213046,0.80247525,234.95868314,37.62439387,24.645124,22.72093,20.894012,20.50025
145.61227364,0.68256266,235.08359286,37.55669862,24.921772,22.352556,20.729748,20.194277
145.61271588,0.73414522,235.03024798,37.58625046,22.654726,23.425413,22.458654,21.589043
145.61334096,0.67913376,235.08792023,37.55563693,24.018894,22.313618,20.944078,20.601408
145.61395341,0.82589999,234.93557655,37.63913027,21.921881,21.638288,20.123816,19.825443
145.61429619,0.66261565,235.10577572,37.54707199,22.465885,22.888504,21.563019,20.339666
145.6152169,0.77420119,234.99033408,37.61096228,21.509575,20.043165,19.444502,19.57435
