Name,ra,dec,GLAT,GLON
NGC6595,274.24127197265625,-19.881202697753906,-1.690000057220459,11.390000343322754
NGC6507,269.90301513671875,-17.402236938476562,3.0999999046325684,11.579999923706055
MARK38,273.8114929199219,-18.999940872192383,-0.9300000071525574,11.989999771118164
TR33,276.18994140625,-19.688430786132812,-3.2200000286102295,12.430000305175781
CR469,274.10723876953125,-18.215164184570312,-0.800000011920929,12.800000190734863
NGC6603,274.6082458496094,-18.412736892700195,-1.3200000524520874,12.859999656677246
NGC6717,283.77923583984375,-22.70212745666504,-10.90999984741211,12.869999885559082
IC4725,277.9122314453125,-19.24677848815918,-4.480000019073486,13.579999923706055
RUP146,283.14581298828125,-21.12177276611328,-9.699999809265137,14.079999923706055
NGC6613,274.9763488769531,-17.12760353088379,-1.0099999904632568,14.149999618530273
NGC6596,274.3739318847656,-16.663848876953125,-0.2800000011920929,14.289999961853027
CR394,283.36676025390625,-20.38738250732422,-9.5600004196167,14.84000015258789
BLANCO,1.063591718673706,-29.938232421875,-79.26000213623047,14.970000267028809
NGC6618 Omega,275.1962890625,-16.176525115966797,-0.7400000095367432,15.09000015258789
NGC6647,277.8770751953125,-17.346921920776367,-3.569999933242798,15.25
NGC6716,283.6389465332031,-19.88608741760254,-9.579999923706055,15.399999618530273
NGC6605,274.2650451660156,-14.96435546875,0.6200000047683716,15.729999542236328
NGC6645,278.149658203125,-16.89560317993164,-3.5899999141693115,15.770000457763672
RUP135,269.54833984375,-11.687219619750977,6.21999979019165,16.389999389648438
RUP171,278.04522705078125,-16.04609489440918,-3.109999895095825,16.479999542236328
IC1257,261.77490234375,-7.091446876525879,15.140000343322754,16.540000915527344
RUP145,282.6297912597656,-18.090848922729492,-7.940000057220459,16.6200008392334
DOLIDZE28,276.3382568359375,-14.654314994812012,-1.0099999904632568,16.959999084472656
NGC6611,274.7088928222656,-13.77885627746582,0.7900000214576721,16.989999771118164
TR32,274.3817138671875,-13.347103118896484,1.2799999713897705,17.209999084472656
NGC6604,274.5260009765625,-12.22972297668457,1.690000057220459,18.260000228881836
NGC6639,277.5306396484375,-13.198539733886719,-1.3600000143051147,18.780000686645508
NGC6625,275.8000183105469,-12.056884765625,0.6700000166893005,19.010000228881836
NGC6631,276.7998352050781,-12.035385131835938,-0.1899999976158142,19.469999313354492
RUP141,277.82611083984375,-12.31377124786377,-1.2000000476837158,19.700000762939453
RUP142,278.0257568359375,-12.246142387390137,-1.340000033378601,19.850000381469727
RUP143,278.150146484375,-12.128874778747559,-1.399999976158142,20.010000228881836
RUP144,278.3465881347656,-11.427921295166016,-1.2400000095367432,20.719999313354492
RUP170,276.2899169921875,-10.05449104309082,1.1799999475479126,21.0
RUP147,289.1679382324219,-16.276893615722656,-12.8100004196167,21.020000457763672
NGC6649,278.3664245605469,-10.394479751586914,-0.7799999713897705,21.639999389648438
NGC6694,281.3111267089844,-9.397021293640137,-2.9200000762939453,23.860000610351562
NGC6664,279.1806335449219,-8.223873138427734,-0.5,23.950000762939453
TR34,279.95684814453125,-8.48681926727295,-1.2999999523162842,24.06999969482422
