ra,dec,u,g,r,i,z,redshift,velocidad,distancia_arcmin,tipo
195.033291,28.078567,17.369,15.499,14.68,14.27,13.959,0.02414,7242.000000000001,7.2597,galaxia
195.033862,27.976941,14.662,12.644,11.718,11.506,11.245,0.0215,6449.999999999999,4.2946,galaxia
195.034734,28.166631,21.902,18.872,17.585,16.982,16.651,,,11.9753,estrella
195.036359,28.159854,18.667,16.511,15.778,15.378,15.238,0.02489,7467.0,11.6296,galaxia
195.037977,28.170392,17.612,15.643,14.851,14.442,14.28,0.02252,6755.999999999999,12.248,galaxia
195.043846,28.138798,18.441,17.184,16.777,16.639,16.565,,,10.6454,estrella
195.044124,28.043974,20.038,17.512,16.3,15.774,15.456,,,6.1498,estrella
195.044341,28.152047,20.828,18.124,16.707,15.879,15.423,,,11.3711,estrella
195.044786,28.017241,18.161,17.262,17.032,16.951,16.936,,,5.3416,estrella
195.044832,27.990943,30.142,14.621,13.922,14.184,14.223,,,4.9097,galaxia
195.046407,28.065246,19.391,17.591,16.858,16.524,16.245,0.02454,7362.0,7.0951,galaxia
195.051825,28.015939,17.004,15.737,15.326,15.194,15.152,,,5.6537,estrella
195.053597,28.075496,17.607,15.846,15.055,14.671,14.387,0.02503,7509.0,7.8028,galaxia
195.053721,27.990578,31.22,16.006,15.061,14.673,14.317,,,5.3748,galaxia
195.055934,28.053287,32.863,17.891,17.456,17.2,16.969,0.02716,8148.0,6.987,galaxia
195.061432,28.041297,17.31,15.543,14.761,14.363,14.073,0.01912,5736.000000000001,6.8062,galaxia
195.066115,28.090308,18.666,16.167,14.987,14.565,14.353,,,8.9052,estrella
195.068828,27.967507,17.064,15.461,14.329,14.386,14.635,0.01547,4641.0,6.1918,galaxia
195.070942,28.063911,17.895,16.149,15.363,14.98,14.69,0.02047,6141.0,8.0058,galaxia
195.074697,28.202398,15.83,13.981,13.177,12.763,12.5,0.02844,8532.0,14.7893,galaxia
195.076427,28.059288,19.744,18.017,17.435,17.136,17.047,0.03325,9975.0,8.0693,galaxia
195.076898,28.043106,16.873,15.677,15.303,15.184,15.146,,,7.5641,estrella
195.077274,28.097154,19.735,17.742,17.062,16.761,16.529,0.02608,7824.0,9.608,galaxia
195.078668,28.009307,19.51,17.862,17.114,16.741,16.473,0.02068,6204.0,6.8819,galaxia
195.079073,28.251905,15.026,14.107,13.69,13.578,13.564,,,17.5966,estrella
195.079184,28.186491,28.664,17.348,16.556,16.394,17.231,,,14.0481,galaxia
195.09017,28.084637,15.885,14.31,13.809,13.495,13.395,,,9.5832,estrella
195.09223,28.047007,17.065,15.255,14.476,14.087,13.797,0.02727,8181.0,8.3877,galaxia
195.092452,28.247091,19.409,17.598,16.822,16.502,16.32,0.02508,7524.000000000001,17.6147,galaxia
195.096222,28.116266,15.319,13.309,12.562,12.25,12.083,,,11.1305,estrella
195.099143,28.133285,18.851,17.308,16.712,16.481,16.377,,,11.9967,estrella
195.102044,28.013566,16.642,15.448,15.077,14.958,14.932,,,8.145,estrella
195.103438,28.123489,20.248,18.079,16.721,15.633,15.048,,,11.7078,estrella
195.106296,28.199571,16.452,14.72,14.125,14.01,13.889,,,15.4466,estrella
195.118294,27.972391,17.354,15.709,14.948,14.583,14.363,0.02574,7722.0,8.7768,galaxia
195.118581,28.040646,20.768,18.261,17.029,16.485,16.173,,,9.4873,estrella
195.123183,28.108347,16.735,15.424,14.958,14.795,14.733,,,11.8358,estrella
195.125788,28.160047,20.899,17.891,17.259,16.93,16.839,0.02358,7074.0,14.1331,galaxia
195.127332,28.201384,18.473,17.454,17.105,16.976,16.959,,,16.1489,estrella
195.128979,28.108394,19.956,18.196,17.509,17.113,16.856,0.01728,5184.0,12.0731,galaxia
195.135268,28.256051,18.743,17.974,17.151,16.87,16.542,0.02096,6288.0,19.1403,galaxia
195.140769,28.244282,18.163,17.205,16.843,16.72,16.688,,,18.6874,estrella
195.141952,28.108685,17.567,16.403,16.035,15.913,15.878,,,12.6218,estrella
